,Image,Response,Time,Q1 Label,Q2 Label,Q3 Label,Q4 Label
156,HBY163.JPG,"[1, 2, 3, 4]",2.519,Hit,Hit,Hit,Hit
157,HBR23.JPG,"[1, 2, 3, 4]",4.224,False alarm,Hit,Hit,False alarm
158,HBG488.JPG,"[1, 2, 3, 4]",9.628,Hit,Hit,Hit,Hit
159,BR18.JPG,"[1, 2, 3]",4.218,Hit,Hit,Hit,Correct rejection
160,HBR33.JPG,[4],5.821,Correct rejection,Correct rejection,Miss,Hit
161,HBY155.JPG,[4],2.708,Correct rejection,Correct rejection,Correct rejection,Hit
162,HBY161.JPG,"[1, 2]",2.611,Hit,Hit,Miss,Miss
163,HBG499.JPG,"[1, 2]",9.453,Hit,Hit,Miss,Correct rejection
164,HBY85.JPG,"[1, 3]",4.922,Hit,Miss,False alarm,Correct rejection
165,HBY103.JPG,[3],2.709,Correct rejection,Correct rejection,Hit,Miss
166,HBY98.JPG,"[1, 2, 3]",3.117,Hit,Hit,Hit,Correct rejection
167,HBR30.JPG,"[2, 3]",3.313,Correct rejection,Hit,Hit,Correct rejection
168,HBY27.JPG,"[1, 4]",4.816,Hit,Correct rejection,Correct rejection,Hit
169,HBY49.JPG,"[1, 2, 4]",2.017,Hit,Hit,Correct rejection,Hit
170,HBY91.JPG,[1],3.609,Hit,Miss,Miss,Miss
171,HBY116.JPG,"[1, 4]",3.219,Hit,Correct rejection,Correct rejection,Hit
172,HBY33.JPG,"[3, 4]",2.313,Correct rejection,Correct rejection,Hit,Hit
173,HBR10.JPG,"[1, 2, 3, 4]",6.036,Hit,Hit,False alarm,Hit
174,HBG104.JPG,"[3, 4]",6.518,Miss,Correct rejection,False alarm,Hit
175,HBR32.JPG,"[1, 2, 3, 4]",4.322,Hit,Hit,False alarm,False alarm
176,HBG85.JPG,"[1, 2, 3, 4]",2.420,False alarm,Hit,Hit,Hit
177,HBY101.JPG,"[3, 4]",3.513,Miss,Miss,Hit,Hit
178,HBY60.JPG,"[1, 2]",1.711,Hit,Hit,Correct rejection,Correct rejection
179,HBY156.JPG,"[1, 2, 3, 4]",11.131,False alarm,False alarm,False alarm,Hit
180,HBR5.JPG,"[1, 3, 4]",4.025,Hit,Miss,Hit,Hit
181,HBR45.JPG,"[2, 3, 4]",3.316,Correct rejection,Hit,Hit,Hit
182,HBY31.JPG,"[1, 3]",3.914,Hit,Correct rejection,Hit,Correct rejection
183,HBG200.JPG,[2],3.309,Miss,Hit,Correct rejection,Correct rejection
184,HBY144.JPG,"[2, 4]",4.420,Correct rejection,Hit,Miss,Hit
185,HBG96.JPG,"[1, 2, 3]",3.918,Hit,Hit,Hit,Correct rejection
186,HBG69.JPG,"[3, 4]",2.812,Correct rejection,Correct rejection,Hit,Hit
187,HBY111.JPG,"[2, 3, 4]",4.929,Miss,Hit,Hit,Hit
188,HBY56.JPG,"[1, 2]",3.012,Hit,Hit,Correct rejection,Correct rejection
189,HBR27.JPG,"[1, 2, 3, 4]",3.020,Hit,Hit,Hit,Hit
190,HBR39.JPG,"[1, 2, 3]",2.622,Hit,Hit,Hit,Correct rejection
191,HBY64.JPG,"[1, 2, 3, 4]",2.922,Hit,Hit,Hit,Hit
192,HBG106.JPG,[3],4.510,Miss,Miss,Hit,Correct rejection
193,HBY143.JPG,"[1, 2, 3, 4]",4.020,False alarm,Hit,False alarm,Hit
194,HBG189.JPG,"[1, 4]",12.332,Hit,Miss,Correct rejection,False alarm
195,HBG447.JPG,"[1, 3, 4]",3.116,Hit,Correct rejection,Hit,Hit
196,HBR19.JPG,"[2, 3, 4]",2.819,Correct rejection,False alarm,Hit,Hit
197,HBY173.JPG,"[2, 3, 4]",3.614,Miss,Hit,Hit,Hit
198,HBG135.JPG,"[1, 2, 3]",3.119,False alarm,Hit,Hit,Correct rejection
199,HBG436.JPG,"[1, 3, 4]",2.014,Hit,Correct rejection,Hit,Hit
